2	2	Deneme 15 	Yenilendi. Bu bir denemendir. Bu bir denemedir. Bu bir denemedir. Bu bir denemedir. Bu bir denemedir. Bu bir denemedir.	5 Şubat 2022	Deneme 10
3	0	Deneme0001	Bu birinci denememizdir	0018	Deneme 01
4	0	Deneme0002	Bu ikinci denememizdir	0019	Deneme 02
5	0	Deneme0003	Bu ikinci denememizdir	0020	Deneme 03
6	1	Deneme0004	Bu dördüncü denememizdir	0021	Deneme 04
7	1	Deneme0005	Bu beşinci denememizdir	0022	Deneme 05
8	2	Deneme0006	Bu altıncı denememizdir	0023	Deneme 06
9	2	Deneme0007	Bu yedinci denememizdir	0024	Deneme 07
10	3	Deneme0008	Bu sekizinci denememizdir	0025	Deneme 08
11	3	Deneme0009	Bu dokuzuncu denememizdir	0026	Deneme 09
12	3	Deneme0010	Bu onuncu denememizdir	0027	Deneme 10
\.


